text,category
"Honda Advanced Technology is part of Honda's long-standing research and development program focused on building new models for their automotive products and automotive-related technologies, with many of the advances pertaining to engine technology. Honda's research has led to practical solutions ranging from fuel-efficient vehicles and engines, to more sophisticated applications such as the humanoid robot, ASIMO, and the Honda HA-420 Honda-jet, a six-passenger business jet.",new technology
"Racism in archaeology covers the phenomenon of interpreting archaeological remains in terms of speculations about the putative racial profiles of the peoples who created the structures which excavations have brought to light. Archaeologist Chris Gosden wrote  ""Racism occurs when judgements about people always proceed from their physical features of their body; when biology is given social force."" Such racial readings of archaeological remains have a history which may be traced back at least to Josiah Priest and his 1833 book American Antiquities.",archaeology
"Imitation is simple behavior which uses successful actions of others in order to deal with one's own problems. Because success of imitation generally depends on whether profit of an imitating agent coincides with those of other agents or not, game theory is suitable for specifying situations where imitation can be successful. One of the concepts describing successfulness of imitation in repeated two-player symmetric games is unbeatability. For infinitely repeated two-player symmetric games, a ne",social science
"Within the context of modified gravity and dark energy scenarios of the accelerating universe, we study the stability of de Sitter space with respect to inhomogeneous perturbations using a gauge-independent formalism. In modified gravity the stability condition is exactly the same that one obtains from a homogeneous perturbation analysis, while the stability condition in scalar-tensor gravity is more restrictive.",astronomy
"Individual Based Models (IBMs) and Agent Based Models (ABMs) have become widely used tools to understand complex biological systems. However, general methods of parameter inference for IBMs are not available. In this paper we show that it is possible to address this problem with a traditional likelihood-based approach, using an example of an IBM developed to describe the spread of Chytridiomycosis in a population of frogs as a case study. We show that if the IBM satisfies certain criteria we can",ecology
"Understanding pedestrian dynamics and the interaction of pedestrians with their environment is crucial to the safe and comfortable design of pedestrian facilities. Experiments offer the opportunity to explore the influence of individual factors. In the context of the project CroMa (Crowd Management in transport infrastructures), experiments were conducted with about 1000 participants to test various physical and social psychological hypotheses focusing on people's behaviour at railway stations a",social science
"The Indian Institute of Technology Kharagpur (IIT Kharagpur or IIT-KGP) is a public institute of technology, research university, and autonomous institute established by the Government of India in Kharagpur, West Bengal. Founded in 1951, the institute is the first of the IITs to be established and is recognised as an Institute of National Importance.",new technology
Below are notable events in archaeology that occurred in 1933.   == Explorations == Hull of Henry V of England's flagship Grace Dieu identified in the River Hamble.,archaeology
"In this review we discuss constraints on minimal supersymmetric models of particle physics implied by the recent astrophysical observations of WMAP. Although the prospects of detecting supersymmetry increase and 90 percent of the available MSSM parameter space can safely be reached by the sensitivity of future colliders, nevertheless we pay particular emphasis on discussing regions of the appropriate phase diagrams, which -if realized - would imply that detection of supersymmetry, at least in th",astronomy
"As the COVID-19 outbreak evolves around the world, the World Health Organization (WHO) and its Member States have been heavily relying on staying at home and lock down measures to control the spread of the virus. In the last months, various signs showed that the COVID-19 curve was flattening, but even the partial lifting of some containment measures (e.g., school closures and telecommuting) appear to favor a second wave of the disease. The accurate evaluation of possible countermeasures and thei",social science
"The Istanbul Archaeology Museums (Turkish: İstanbul Arkeoloji Müzeleri) are a group of three archaeological museums located in the Eminönü quarter of Istanbul, Turkey, near Gülhane Park and Topkapı Palace. These museums house over one million objects from nearly all periods and civilizations in world history.",archaeology
"Lifestyle is the interests, opinions, behaviours, and behavioural orientations of an individual, group, or culture. The term ""style of life"" (German: Lebensstil) was introduced by Austrian psychologist Alfred Adler in his 1929 book, The Case of Miss R., with the meaning of ""a person's basic character as established early in childhood"".",social science
"Stephen Wolfram ( WUUL-frəm; born 29 August 1959) is a British-American computer scientist, physicist, and businessman. He is known for his work in computer algebra and theoretical physics.",physics
"The linking number (topological entanglement) and the writhe (geometrical entanglement) of a model of circular double stranded DNA undergoing a thermal denaturation transition are investigated by Monte Carlo simulations. By allowing the linking number to fluctuate freely in equilibrium we see that the linking probability undergoes an abrupt variation (first-order) at the denaturation transition, and stays close to 1 in the whole native phase. The average linking number is almost zero in the dena",biology
"Plastics are ubiquitous in modern society, but the linear model of produce, use, and dispose results in massive amounts of resource consumption and pollution. Landfill and incineration of plastic waste is endemic, with no consensus on a clear path towards a more sustainable model. Progress is often hampered by a lack of clarity on what choices will enable a more sustainable circular plastics economy. Our Plastics Hierarchy of Fates tool addresses this by bringing together scattered information o",social science
"It has been suggested that galactic shock asymmetry induced by our galaxy's infall toward the Virgo Cluster may be a source of periodicity in cosmic ray exposure as the solar system oscillates perpendicular to the galactic plane. Here we investigate a mechanism by which cosmic rays might affect terrestrial biodiversity, ionization and dissociation in the atmosphere, resulting in depletion of ozone and a resulting increase in the dangerous solar UVB flux on the ground, with an improved ionization",ecology
"In the context of Lorentz-invariant massive gravity we show that classical solutions around heavy sources are plagued by ghost instabilities. The ghost shows up in the effective field theory at huge distances from the source, much bigger than the Vainshtein radius. Its presence is independent of the choice of the non-linear terms added to the Fierz-Pauli Lagrangian. At the Vainshtein radius the mass of the ghost is of order of the inverse radius, so that the theory cannot be trusted inside this ",astronomy
"It is likely that the holographic principle will be a consequence of the would be theory of quantum gravity. Thus, it is interesting to try to go in the opposite direction: can the holographic principle fix the gravitational interaction? It is shown that the classical gravitational interaction is well inside the set of potentials allowed by the holographic principle. Computations clarify which role such a principle could have in lowering the value of the cosmological constant computed in QFT to ",astronomy
"Lotka's seminal work (A.J. Lotka A., Proc. Natl. Acad. Sci. U.S.A. 6 (1920) 410) ""on certain rhythmic relations'' is already one hundred years old, but the research activity about pattern formations due to cyclical dominance is more vibrant than ever. It is because non-transitive interactions have paramount role on maintaining biodiversity and adequate human intervention into ecological systems requires deeper understanding of related dynamical processes. In this perspective article we overview ",ecology
"The sterile insect technique consists in massive release of sterilized males in the aim to reduce the size of mosquitoes population or even eradicate it. In this work, we investigate the feasability of using the sterile insect technique as a barrier against reinvasion. More precisely, we provide some numerical simulations and mathematical results showing that performing the sterile insect technique on a band large enough may stop reinvasion.",ecology
"Using the color-singlet free energy F_1 and total internal energy U_1 obtained by Kaczmarek et al. for a static quark Q and an antiquark Qbar in quenched QCD, we study the binding energies and wave functions of heavy quarkonia in a quark-gluon plasma. By minimizing the grand potential in a simplified schematic model, we find that the proper color-singlet Q-Qbar potential can be obtained from the total internal energy U_1 by subtracting the gluon internal energy contributions. We carry out this s",astronomy
"A microorganism, or microbe, is an organism of microscopic size, which may exist in its single-celled form or as a colony of cells. The possible existence of unseen microbial life was suspected from antiquity, with an early attestation in Jain literature authored in 6th-century BC India.",microbiology
Molecular Biology and Evolution (MBE) is a monthly peer-reviewed scientific journal published by Oxford University Press on behalf of the Society for Molecular Biology and Evolution. It publishes work in the intersection of molecular biology and evolutionary biology.,biology
"The American Institute of Physics (AIP) promotes science and the profession of physics, publishes physics journals, and produces publications for scientific and engineering societies. The AIP is made up of various member societies.",physics
"Networks describing the interaction of the elements that constitute a complex system grow and develop via a number of different mechanisms, such as the addition and deletion of nodes, the addition and deletion of edges, as well as the duplication or fusion of nodes. While each of these mechanisms can have a different cause depending on whether the network is biological, technological, or social, their impact on the network's structure, as well as its local and global properties, is similar. This",microbiology
"In biology, and especially in genetics, a mutant is an organism or a new genetic character arising or resulting from an instance of mutation, which is generally an alteration of the DNA sequence of the genome or chromosome of an organism. It is a characteristic that would not be observed naturally in a specimen.",biology
"A central feature of an emerging infectious disease in a pandemic scenario is the spread through geographical scales and the impacts on different locations according to the adopted mitigation protocols. We investigated a stochastic epidemic model with the metapopulation approach in which patches represent municipalities. Contagion follows a stochastic compartmental model for municipalities; the latter, in turn, interact with each other through recurrent mobility. As a case of study, we consider ",ecology
"The selection of research topics by scientists can be viewed as an exploration process conducted by individuals with cognitive limitations traversing a complex cognitive landscape influenced by both individual and social factors. While existing theoretical investigations have provided valuable insights, the intricate and multifaceted nature of modern science hinders the implementation of empirical experiments. This study leverages advancements in deep learning techniques to investigate the patte",social science
"Hungarian literature is the body of written works primarily produced in Hungarian, and may also include works written in other languages (mostly Latin), either produced by Hungarians or having topics which are closely related to Hungarian culture. While it was less known in the English-speaking world for centuries, Hungary's literature gained renown in the 19th and 20th centuries, thanks to a new wave of internationally accessible writers like Mór Jókai, Antal Szerb, Sándor Márai, Imre Kertész and Magda Szabó.",literature
"The International Journal of Medical Microbiology, formerly the Zentralblatt für Bakteriologie, is a peer-reviewed medical journal covering research on microbiology published by Elsevier. It was established in 1887 by Friedrich Loeffler.",microbiology
"Network Medicine has improved the mechanistic understanding of disease, offering quantitative insights into disease mechanisms, comorbidities, and novel diagnostic tools and therapeutic treatments. Yet, most network-based approaches rely on a comprehensive map of protein-protein interactions, ignoring interactions mediated by non-coding RNAs (ncRNAs). Here, we systematically combine experimentally confirmed binding interactions mediated by ncRNA with protein-protein interactions, constructing th",microbiology
"In this paper, we calculate some of the polarized neutron matter properties, using the lowest order constrained variational method with the $AV_{18}$ potential and employing a microscopic point of view. A comparison is also made between our results and those of other many-body techniques.",astronomy
"Mutual imitation games among artificial birds are studied. By employing a variety of mappings and game rules, the evolution to the edge between chaos and windows is universally confirmed. Some other general features are observed, including punctuated equilibria, and successive alternations of dominant species with temporal complexity. Diversity of species aided by the symbolization of artificial birds' song are also shown.",biology
"In this paper, we continue development of the new epidemiological model HIT, which is suitable for analyzing and predicting the propagation of COVID-19 epidemics. This is a discrete-time model allowing a reconstruction of the dynamics of asymptomatic virus holders using the available daily statistics on the number of new cases. We suggest to use a new indicator, the total infection rate, to distinguish the propagation and recession modes of the epidemic. We check our indicator on the available d",social science
The opening of the Y-fork - the first step of DNA replication - is shown to be a critical phenomenon under an external force at one of its ends. From the results of an equivalent delocalization in a non-hermitian quantum-mechanics problem we show the different scaling behavior of unzipping and melting. The resultant long-range critical features within the unzipped part of Y might play a role in the highly correlated biochemical functions during replication.,biology
"Renaissance technology was the set of European artifacts and inventions which spread through the Renaissance period, roughly the 14th century through the 16th century. The era is marked by profound technical advancements such as the printing press, linear perspective in drawing, patent law, double shell domes and bastion fortresses.",new technology
"When de Sitter first introduced his celebrated spacetime, he claimed, following Schwarzschild, that its spatial sections have the topology of the real projective space RP^3 (that is, the topology of the group manifold SO(3)) rather than, as is almost universally assumed today, that of the sphere S^3. (In modern language, Schwarzschild was disturbed by the non-local correlations enforced by S^3 geometry.) Thus, what we today call ""de Sitter space"" would not have been accepted as such by de Sitter",astronomy
"This list of biology awards is an index to articles about notable awards for biology. It includes a general list and lists of ecology, genetics and neuroscience awards.",biology
"Hebrew astronomy refers to any astronomy written in Hebrew or by Hebrew speakers, or translated into Hebrew, or written by Jews in Judeo-Arabic. It includes a range of genres from the earliest astronomy and cosmology contained in the Bible, mainly the Tanakh (Hebrew Bible or ""Old Testament""), to Jewish religious works like the Talmud and very technical works.",astronomy
"Dust astronomy is a subfield of astronomy that uses the information contained in individual cosmic dust particles ranging from their dynamical state to its isotopic, elemental, molecular, and mineralogical composition in order to obtain information on the astronomical objects occurring in outer space. Dust astronomy overlaps with the fields of Planetary science, Cosmochemistry, and Astrobiology.",astronomy
"Kazakh literature is defined as 'the body of literature, both oral and written, produced in the Kazakh language by the Kazakh people of Central Asia'. Kazakh literature expands from the current territory of Kazakhstan, also including the era of Kazakh Soviet Socialist Republic, Kazakh recognized territory under the Russian Empire and the Kazakh Khanate.",literature
"The early history of Monaco is primarily concerned with the protective and strategic value of the Rock of Monaco, the area's chief geological landmark, which served first as a shelter for ancient peoples and later as a fortress. Part of Liguria's history since the fall of the Roman Empire, from the 14th to the early 15th century the area was contested for primarily political reasons.",history
"Isologous diversification theory for cell differentiation is proposed, based on simulations of interacting cells with biochemical networks and cell division process following consumption of some chemicals. According to the simulations of the interaction-based dynamical systems model, the following scenario of the cell differentiation is proposed. (1) Up to some threshold number, divisions bring about almost identical cells with synchronized biochemical oscillations. (2)As the number is increased",biology
"Emotional geography is a subtopic within human geography, more specifically cultural geography, which applies psychological theories of emotion. It is an interdisciplinary field relating emotions, geographic places and their contextual environments.",climatology
Mutualism describes the ecological interaction between two or more species where each species has a net benefit. Mutualism is a common type of ecological interaction.,ecology
"In this paper I will review twenty years of work on the question: When is there coexistence in stochastic spatial models? The answer, announced in Durrett and Levin [Theor. Pop. Biol. 46 (1994) 363--394], and that we explain in this paper is that this can be determined by examining the mean-field ODE. There are a number of rigorous results in support of this picture, but we will state nine challenging and important open problems, most of which date from the 1990's.",ecology
"The Great Debate, also called the Shapley–Curtis Debate, was held on 26 April 1920 at the U.S. National Museum in Washington, D.C. between the astronomers Harlow Shapley and Heber Curtis. It concerned the nature of so-called spiral nebulae and the size of the Universe.",astronomy
Recent seroprevalence studies have tried to estimate the real number of asymptomatic cases affected by COVID-19. It is of paramount importance to understand the impact of these infections in order to prevent a second wave. This study aims to model the interactions in the population by means of a complex network and to shed some light on the effectiveness of localised control measures in Italy in relation to the school opening in mid-September. The formulation of an epidemiological predictive mod,social science
"We consider the third order Lovelock equations without the cosmological constant term in an empty $n(\geq 8)$-dimensional Kaluza-Klein spacetime $\mathcal{M}^{4}\times \mathcal{K}^{n-4}$, where $\mathcal{K}^{n-4}$ is a constant curvature space. We show that the emptiness of the higher-dimensional spacetime imposes a constraint on the metric function(s) of 4-dimensional spacetime $\mathcal{M}^{4}$. We consider the effects of this constraint equation in the context of black hole physics, and find ",astronomy
"The current accelerated universe could be produced by modified gravitational dynamics as it can be seen in particular in its Palatini formulation. We analyze here a specific non-linear gravity-scalar system in the first order Palatini formalism which leads to a FRW cosmology different from the purely metric one. It is shown that the emerging FRW cosmology may lead either to an effective quintessence phase (cosmic speed-up) or to an effective phantom phase. Moreover, the already known gravity ass",astronomy
"The Caribbean Island of Jamaica was initially inhabited in approximately 600 AD or 650 AD by the Redware people, often associated with redware pottery. By roughly 800 AD, a second wave of inhabitants occurred by the Arawak tribes, including the Tainos, prior to the arrival of Columbus in 1494.",history
"Mathematical and theoretical biology, or biomathematics, is a branch of biology which employs theoretical analysis, mathematical models and abstractions of living organisms to investigate the principles that govern the structure, development and behavior of the systems, as opposed to experimental biology which deals with the conduction of experiments to test scientific theories. The field is sometimes called mathematical biology or biomathematics to stress the mathematical side, or theoretical biology to stress the biological side.",biology
"Neolithic artifacts, uncovered by archeologists at the beginning of the 21st century, indicate that Istanbul's historic peninsula was settled as far back as the 6th millennium BCE. That early settlement, important in the spread of the Neolithic Revolution from the Near East to Europe, lasted for almost a millennium before being inundated by rising water levels. The first human settlement on the Asian side, the Fikirtepe mound, is from the Copper Age period, with artifacts dating from 5500 to 3500 BCE. In the European side, near the point of the peninsula (Sarayburnu) there was a settlement during the early 1st millennium BCE. Modern authors have linked it to the possible Thracian toponym Lygos, mentioned by Pliny the Elder as an earlier name for the site of Byzantium.",history
"In a previous work \cite{mbeleka}, we have modelled the rotation curves (RC) of spiral galaxies by including in the equation of motion dynamical terms from an external real self-interacting scalar field, $φ$, minimally coupled to gravity and which respects the equivalence principle in the absence of electromagnetic fields. This model appears to have three free parameters : the turnover radius, $r_{0}$, the maximum rotational velocity, $v_{max} = v(r_{0})$, plus a strictly positive integer, $n$. ",astronomy
"In biology, a lumen (pl.: lumina) is the inside space of a tubular structure, such as an artery or intestine. It comes from Latin  lumen 'an opening'.",biology
"An incubator is a device used to grow and maintain microbiological cultures or cell cultures. The incubator maintains optimal temperature, humidity and other conditions such as the CO2 and oxygen content of the atmosphere inside.",microbiology
"The Council for the Development of Social Science Research in Africa (CODESRIA, French: Conseil pour le développement de la recherche en sciences sociales en Afrique) is Pan-African research organisation headquartered in Dakar, Senegal. The current President is Isabel Casimiro with Godwin Murunga serving as Executive Secretary.",social science
"Despite the apparent cross-disciplinary interactions among scientific fields, a formal description of their evolution is lacking. Here we describe a novel approach to study the dynamics and evolution of scientific fields using a network-based analysis. We build an idea network consisting of American Physical Society Physics and Astronomy Classification Scheme (PACS) numbers as nodes representing scientific concepts. Two PACS numbers are linked if there exist publications that reference them simu",social science
"This study investigates the utilization of various mathematical models for comprehending and managing outbreaks of infectious diseases, with a specific focus on how different distributions of incubation times influence predictions regarding epidemics. Two methodologies are examined: a compartmental SEnIR ODE model, which represents an enhanced version of the mean-field SEIR model, and a stochastic agent-based complex network model. Our findings demonstrate that the selection of diverse incubatio",ecology
"Mathematical epidemiological models have a broad use, including both qualitative and quantitative applications. With the increasing availability of data, large-scale quantitative disease spread models can nowadays be formulated. Such models have a great potential, e.g., in risk assessments in public health. Their main challenge is model parameterization given surveillance data, a problem which often limits their practical usage.   We offer a solution to this problem by developing a Bayesian meth",ecology
"An academic discipline or field of study is a branch of knowledge, taught and researched as part of higher education. A scholar's discipline is commonly defined by the university faculties and learned societies to which they belong and the academic journals in which they publish research.",social science
"The mechanical separation of the double helical DNA structure induced by forces pulling apart the two DNA strands (``unzipping'') has been the subject of recent experiments. Analytical results are obtained within various models of interacting pairs of directed walks in the (1,1,...,1) direction on the hypercubic lattice, and the phase diagram in the force-temperature plane is studied for a variety of cases. The scaling behaviour is determined at both the unzipping and the melting transition. We ",biology
"Alkalinity (from Arabic: القلوية, romanized: al-qaly, lit. 'ashes of the saltwort') is the capacity of water to resist acidification. It should not be confused with basicity, which is an absolute measurement on the pH scale.",climatology
Doki Doki Literature Club! (sometimes abbreviated as DDLC) is a 2017 visual novel video game developed by Team Salvato for personal computers.,literature
"Witnessing its first case in late January 2020 India has seen a sharp rise in the number of positive cases of COVID-19. 34 States/UT (s) of the country have been found to be affected by the pandemic to date. We in this work, study the progress of COVID-19 pandemic in India. We aim to create transmission network visualization (s) of COVID-19 in India and perform analysis upon them. Using the transmission networks obtained we attempt to find the possible Super Spreader Individual (s) and Super Spr",ecology
"Melting and hybridization of DNA-capped gold nanoparticle networks are investigated with optical absorption spectroscopy. Single-stranded, 12-base DNA-capped gold nanoparticles are linked with complementary, single-stranded, 24-base linker DNA to form particle networks. Compared to free DNA, a sharp melting transition is seen in these networked DNA-nanoparticle systems. The sharpness is explained by percolation transition phenomena.",biology
"Molecular motors in biological systems are expected to use ambient fluctuation. In a recent Letter [Phys. Rev. Lett. {\bf 80}, 5251 (1998)], it was showed that the following question was unsolved, ``Can thermal noise facilitate energy conversion by ratchet system?'' We consider it using stochastic energetics, and show that there exist systems where thermal noise helps the energy conversion.",biology
"Glenn J. White is Professor of Astronomy at the Open University, UK, and Research Group Leader of the Astronomy Group at the Rutherford Appleton Laboratory. He carries out research on star formation and on exoplanets.",astronomy
"In Indonesia, a Regional House of Representatives (Indonesian: Dewan Perwakilan Rakyat Daerah, DPRD; lit. 'Regional People's Representative Council') is the unicameral legislative body of an Indonesian national subdivision, at either the provincial (I) or at the regency/city (II) level. They are based on the amended Constitution of Indonesia, which mandated the creation of such bodies for local governance.",climatology
"Astronomy Cast is an educational nonprofit podcast discussing various topics in the field of astronomy. The specific subject matter of each episode shifts from week to week, ranging from planets and stars to cosmology and mythbusting.",astronomy
"The quasi-species equation describes the evolution of the probability that a random individual in a population carries a given genome. Here we map the quasi-species equation for individuals of a self-reproducing population to an ensemble of scalar field elementary units undergoing a creation and annihilation process. In this mapping, the individuals of the population are mapped to field units and their genome to the field value. The selective pressure is mapped to an inverse temperature βof the ",ecology
"This paper presents mathematics relevant to the question whether voting should be mandatory. Assuming a static distribution of voters' political beliefs, we model how politicians might adjust their positions to raise their share of the vote. Various scenarios can be explored using our web-based app (see text for the link). Abstentions are found to have great impact on the dynamics of candidates, and in particular to introduce the possibility of discontinuous jumps in optimal candidate positions.",social science
"Analytic energy bounds for N-boson systems governed by semirelativistic Hamiltonians of the form H=\sum_{i=1}^N(p_i^2 + m^2)^{1/2} - sum_{1=i<j}^N v/r_{ij}, with v>0, are derived by use of Jacobi relative coordinates. For gravity v=c/N, these bounds are substantially tighter than earlier bounds and they are shown to coincide with known results in the nonrelativistic limit.",astronomy
"We establish that mass conserving single terminal-linkage networks of chemical reactions admit positive steady states regardless of network deficiency and the choice of reaction rate constants. This result holds for closed systems without material exchange across the boundary, as well as for open systems with material exchange at rates that satisfy a simple sufficient and necessary condition. Our proof uses a fixed point of a novel convex optimization formulation to find the steady state behavio",microbiology
"In Ancient Indian astronomy, there are 27 nakshatras , or sectors along the ecliptic. A list of them is first found in the Vedanga Jyotisha, a text dated to the final centuries BCE. The Nakṣatra system predates the influence of Hellenistic astronomy on Vedic tradition, which became prevalent from about the 2nd century CE. There are various systems of enumerating the Nakṣatra-s; although there are 27–28 days to a sidereal month, by custom only 27 days are used.",astronomy
"We study equilibrium configurations of swarming biological organisms subject to exogenous and pairwise endogenous forces. Beginning with a discrete dynamical model, we derive a variational description of the corresponding continuum population density. Equilibrium solutions are extrema of an energy functional, and satisfy a Fredholm integral equation. We find conditions for the extrema to be local minimizers, global minimizers, and minimizers with respect to infinitesimal Lagrangian displacements",ecology
"We propose a model of parameter learning for signal transduction, where the objective function is defined by signal transmission efficiency. We apply this to learn kinetic rates as a form of evolutionary learning, and look for parameters which satisfy the objective. This is a novel approach compared to the usual technique of adjusting parameters only on the basis of experimental data. The resulting model is self-organizing, i.e. perturbations in protein concentrations or changes in extracellular",ecology
"Race is a categorization of humans based on shared physical or social qualities into groups generally viewed as distinct within a given society. The term came into common usage during the 16th century, when it was used to refer to groups of various kinds, including those characterized by close kinship relations.",social science
"Resonant annihilation of extremely high-energy cosmic neutrinos on big-bang relic anti-neutrinos (and vice versa) into Z-bosons leads to sizable absorption dips in the neutrino flux to be observed at Earth. The high-energy edges of these dips are fixed, via the resonance energies, by the neutrino masses alone. Their depths are determined by the cosmic neutrino background density, by the cosmological parameters determining the expansion rate of the universe, and by the large redshift history of t",astronomy
"The behavior of complex networks under failure or attack depends strongly on the specific scenario. Of special interest are scale-free networks, which are usually seen as robust under random failure but appear to be especially vulnerable to targeted attacks. In recent studies of public transport networks of fourteen major cities of the world it was shown that these systems when represented by appropriate graphs may exhibit scale-free behavior [C. von Ferber et al., Physica A 380, 585 (2007), Eur",social science
"Astronomy Camp is a science summer camp hosted by the University of Arizona's Alumni Association, and run by astronomer  Don McCarthy. Many of the early camps took place at the Mount Lemmon Station Observatory atop Mount Lemmon, near Tucson, Arizona.",astronomy
"The COVID-19, the disease caused by the novel coronavirus 2019 (SARS-CoV-2), has caused graving woes across the globe since first reported in the epicenter Wuhan, Hubei, China, December 2019. The spread of COVID-19 in China has been successfully curtailed by massive travel restrictions that put more than 900 million people housebound for more than two months since the lockdown of Wuhan on 23 January 2020 when other provinces in China followed suit. Here, we assess the impact of China's massive l",social science
The Bronx High School of Science is a public specialized high school in the Bronx in New York City. It is operated by the New York City Department of Education.,social science
"DIG: An Archaeological Adventure is an educational resource in York, England. Operated by the York Archaeology, the centre is housed in the former St Saviour's Church, a 15th-century building repurposed in the 1990s as an archaeological education centre.",archaeology
A tropical cyclone rainfall climatology is developed to determine rainfall characteristics of past tropical cyclones. A tropical cyclone rainfall climatology can be used to help forecast current or upcoming tropical cyclone impacts.,climatology
"Recurrent flooding has increased rapidly in coastal regions due to sea level rise and climate change. A key metric for evaluating transportation system degradation is accessibility, yet the lack of temporally and spatially disaggregate data means that the impact of recurrent flooding on accessibility, and hence transportation system performance: is not well understood. Using crowdsourced WAZE flood incident data from the Hampton Roads region in Virginia, this study (Part 1) examines changes in t",social science
"The Canadian Journal of Infectious Diseases and Medical Microbiology is a quarterly peer-reviewed medical journal. It is the official journal of the Canadian Association for HIV Research, for which it serves as the primary source of society guidelines.",microbiology
The Literature of Exhaustion is a 1967 essay by the American novelist John Barth sometimes considered to be the manifesto of postmodernism. The essay was highly influential  and controversial.,literature
"Reconstruction of family trees, or pedigree reconstruction, for a group of individuals is a fundamental problem in genetics. The problem is known to be NP-hard even for datasets known to only contain siblings. Some recent methods have been developed to accurately and efficiently reconstruct pedigrees. These methods, however, still consider relatively simple pedigrees, for example, they are not able to handle half-sibling situations where a pair of individuals only share one parent. In this work,",ecology
"The history of art focuses on objects made by humans for any number of spiritual, narrative, philosophical, symbolic, conceptual, documentary, decorative, and even functional and other purposes, but with a primary emphasis on its aesthetic visual form. Visual art can be classified in diverse ways, such as separating fine arts from applied arts; inclusively focusing on human creativity; or focusing on different media such as architecture, sculpture, painting, film, photography, and graphic arts.",history
"Subsea technology involves fully submerged ocean equipment, operations, or applications, especially when some distance offshore, in deep ocean waters, or on the seabed. The term subsea is frequently used in connection with oceanography, marine or ocean engineering, ocean exploration, remotely operated vehicle (ROVs) autonomous underwater vehicles (AUVs), submarine communications or power cables, seafloor mineral mining, oil and gas, and offshore wind power.",new technology
"Many compactifications of higher-dimensional supersymmetric theories have approximate vacuum degeneracy. The associated moduli fields are stabilized by non-perturbative effects which break supersymmetry. We show that at finite temperature the effective potential of the dilaton acquires a negative linear term. This destabilizes all moduli fields at sufficiently high temperature. We compute the corresponding critical temperature which is determined by the scale of supersymmetry breaking, the beta-",astronomy
"Collective cooperation drives the dynamics of many natural, social, and economic phenomena, making understanding the evolution of cooperation with evolutionary game theory a central question of modern science. Although human interactions are best described as complex networks, current explorations are limited to static networks where interactions represented by network links are permanent and do not change over time. In reality, human activities often involve temporal interactions, where links a",social science
"The Theoretical Archaeology Group (TAG) is an academic national body in the United Kingdom founded in 1979 ""to promote debate and discussion of issues in theoretical archaeology"". Since 1977 TAG conferences have been held in December at various universities in the UK and Ireland discussing a range of contemporary theoretical approaches in archaeology.",archaeology
"Stability is a key ingredient of protein fitness and its modification through targeted mutations has applications in various fields such as protein engineering, drug design and deleterious variant interpretation. Many studies have been devoted over the past decades to building new, more effective methods for predicting the impact of mutations on protein stability, based on the latest developments in artificial intelligence (AI). We discuss their features, algorithms, computational efficiency, an",microbiology
"The history of Islam is believed, by most historians, to have originated with Muhammad's mission in Mecca and Medina at the start of the 7th century CE, although Muslims regard this time as a return to the original faith passed down by the Abrahamic prophets, such as Adam, Noah, Abraham, Moses, David, Solomon, and Jesus, with the submission (Islām) to the will of God. According to the traditional account, the Islamic prophet Muhammad began receiving what Muslims consider to be divine revelations in 610 CE, calling for submission to the one God, preparation for the imminent Last Judgement, and charity for the poor and needy.",history
"The Singapore University of Social Sciences (SUSS) is a public autonomous university in Singapore. Established in 2017, SUSS focuses on applied degree programmes primarily in the social sciences.",social science
"The cell nucleus (from Latin  nucleus or nuculeus 'kernel, seed'; pl.: nuclei) is a membrane-bound organelle found in eukaryotic cells. Eukaryotic cells usually have a single nucleus, but a few cell types, such as mammalian red blood cells, have no nuclei, and a few others including osteoclasts have many.",biology
"Hilltopping (also spelt hill-topping) is a mate-location behaviour seen in many insects including butterflies, dragonflies, bumblebees, wasps, beetles  and flies.  Males of many butterfly species may be found flying up to and staying on a hilltop - for days on end if necessary.",biology
"Advancement of mobile technologies has enabled economical collection, storage, processing, and sharing of traffic data. These data are made accessible to intended users through various application program interfaces (API) and can be used to recognize and mitigate congestion in real time. In this paper, quantitative (time of arrival) and qualitative (color-coded congestion levels) data were acquired from the Google traffic APIs. New parameters that reflect heterogeneous traffic conditions were de",social science
"Islamic archaeology involves the recovery and scientific investigation of the material remains of past cultures that can illuminate the periods and descriptions in the Quran, and early Islam. The science of archaeology grew out of the older multi-disciplinary study known as antiquarianism.",archaeology
"In this work, we derive a nonstandard finite difference scheme for the SICA (Susceptible-Infected-Chronic-AIDS) model and analyze the dynamical properties of the discretized system. We prove that the discretized model is dynamically consistent with the continuous, maintaining the essential properties of the standard SICA model, namely, the positivity and boundedness of the solutions, equilibrium points, and their local and global stability.",ecology
"Marine biology is the scientific study of the biology of marine life, organisms that inhabit the sea. Given that in biology many phyla, families and genera have some species that live in the sea and others that live on land, marine biology classifies species based on the environment rather than on taxonomy.",biology
"Cognitive ecology is the study of cognitive phenomena within social and natural contexts. It is an integrative perspective drawing from aspects of ecological psychology, cognitive science, evolutionary ecology and anthropology.",ecology
"The early history of radio is the history of technology that produces and uses radio instruments that use radio waves.  Within the timeline of radio, many people contributed theory and inventions in what became radio.",history
"Bacillus cereus is a Gram-positive rod-shaped bacterium commonly found in soil, food, and marine sponges. The specific name, cereus, meaning ""waxy"" in Latin, refers to the appearance of colonies grown on blood agar.",microbiology
